status	file	line	rva	nz4096	keyword	text
NOW-LIT	CLAUDE.md	120	0x056F51B0	3652	never-decrypted	(`0x56F51B0`) are **NOT on the native path** — all three are `PAGE_NOACCESS` (never demand-decrypted,
NOW-LIT	CLAUDE.md	1053	0x052EC260	3967	DARK	0x52EC260` = `48 81 c1 d8 00 00 00 e9`. `SpawnBot 0x556D910` is **DARK, not stripped** (all-zero,
NOW-LIT	CLAUDE.md	1053	0x0556D910	3720	DARK	0x52EC260` = `48 81 c1 d8 00 00 00 e9`. `SpawnBot 0x556D910` is **DARK, not stripped** (all-zero,
NOW-LIT	CLAUDE.md	1138	0x03BBF3C0	3714	DARK	"REAL CODE" for the all-zero `APawn::SpawnDefaultController 0x3BBF3C0`. DARK is neither stripped nor
NOW-LIT	CLAUDE.md	1193	0x03BBF3C0	3714	DARK	★★★★★ **P4: `APawn::SpawnDefaultController 0x3BBF3C0` DARK → DECRYPTED.** Page census, not a
NOW-LIT	CLAUDE.md	1194	0x03BBF000	3714	0/4096	byte peek: `merged11` page `0x3BBF000` = **0/4096** non-zero, S136 image = **3714/4096** —
NOW-LIT	CLAUDE.md	1203	0x03BBF3C0	3714	dark	artifact, blind by construction on dark pages); the true start is `0x3BBF3C0`.
NOW-LIT	CLAUDE.md	1412	0x05565470	3782	0/4096	`ALokiBotController::OnPossess 0x5565470` **0/4096 → 3782/4096** and `::Tick 0x556E9F0`
NOW-LIT	CLAUDE.md	1412	0x0556E9F0	3509	0/4096	`ALokiBotController::OnPossess 0x5565470` **0/4096 → 3782/4096** and `::Tick 0x556E9F0`
STILL-DARK	CLAUDE.md	1413	0x055667F0	0	0/4096	**0/4096 → 3509/4096**, with `OnUnPossess 0x55667F0` still 0/4096 (never unpossessed — a correct
NOW-LIT	CLAUDE.md	1595	0x05879000	3861	DARK	- ★★★★ **PHASE 2 ALSO LANDED — `0x5879000` DARK → LIT, and it found TWO MORE UNSERVED ENDPOINTS:**
NOW-LIT	CLAUDE.md	1608	0x05879000	3861	DARK	the 6 ready/fill/emote impls on `0x5879000` remain **DARK and unreached**.
NOW-LIT	CLAUDE.md	1621	0x01F8CFC0	3807	all-zero|all-zero-page|unreadable-offline|zero-page	states `[M]` *"`0x1F8CFC0` is an all-zero page, so **the packet format is unreadable offline**"* and
STILL-DARK	CLAUDE.md	1686	0x05873280	0	dark	`0x5873280`–`0x5879EE0`, including `TryJoinQueue 0x5875E90`, the most-cited dark address in the
NOW-LIT	CLAUDE.md	1686	0x05875E90	3896	dark	`0x5873280`–`0x5879EE0`, including `TryJoinQueue 0x5875E90`, the most-cited dark address in the
NOW-LIT	CLAUDE.md	1686	0x05879EE0	3861	dark	`0x5873280`–`0x5879EE0`, including `TryJoinQueue 0x5875E90`, the most-cited dark address in the
NOW-LIT	CLAUDE.md	2827	0x056772CF	3254	undecrypted	(`0x56772CF`). ⚠ **Bounded — 45 % of `.text` is undecrypted and `CurrentPhase` is REPLICATED**, so
NOW-LIT	CLAUDE.md	2841	0x05456000	3860	never-decrypted	`.text` page `0x5456000`, never demand-decrypted in any of 18 images, **together with plain getters**
NOW-LIT	CLAUDE.md	3596	0x05565470	3782	0/4096	It is the ONLY image in which `ALokiBotController::OnPossess 0x5565470` (0/4096 → 3782/4096) and
NOW-LIT	CLAUDE.md	3597	0x0556E9F0	3509	0/4096	`::Tick 0x556E9F0` (0/4096 → 3509/4096) are decrypted — a run against `merged12` or earlier still
NOW-LIT	docs/coop-vs-ai-plan-s135.md	15	0x0556D910	3720	DARK|dark	| `SpawnBot 0x556D910` is DARK, not stripped | raw bytes | **all zero** — a stripped impl would read as a known fold (`c2 00 00` / `33 c0 c3`), so "dark" is the right grade. `TrySpawnTeam 0x5570390` reads `41 55 41 56 48 81 ec …` = real prologue. |
NOW-LIT	docs/coop-vs-ai-plan-s135.md	15	0x05570390	3621	DARK|dark	| `SpawnBot 0x556D910` is DARK, not stripped | raw bytes | **all zero** — a stripped impl would read as a known fold (`c2 00 00` / `33 c0 c3`), so "dark" is the right grade. `TrySpawnTeam 0x5570390` reads `41 55 41 56 48 81 ec …` = real prologue. |
NOW-LIT	docs/coop-vs-ai-plan-s135.md	53	0x0556D910	3720	dark	| 15 | The bot is fightable (has an ability system, acts) | **UNKNOWN [S]** | The bot path does not pass through the empty `ALokiGameMode::SpawnPlayer` stub, and `ALokiBotController::{GetUsableSpells, TryToDash, SetHeroBotCompInitialized}` are all REAL — but native `SpawnBot` (`0x556D910`) is **dark in 50 of 50 images on disk** and cannot be read offline. This is the single irreducible unknown and
STILL-DARK	docs/coop-vs-ai-plan-s135.md	359	0x05557070	0	dark	* **`ULokiBotSpawnerComponent::TrySpawnTeam` (native, `0x5570390`)** — fully transcribed, fold-free, no authority check, but gated on the **dark** location provider `0x5557070` whose null is its only failure path. `SpawnClassBotAtLoc` takes an explicit Location and skips it.
NOW-LIT	docs/coop-vs-ai-plan-s135.md	359	0x05570390	3621	dark	* **`ULokiBotSpawnerComponent::TrySpawnTeam` (native, `0x5570390`)** — fully transcribed, fold-free, no authority check, but gated on the **dark** location provider `0x5557070` whose null is its only failure path. `SpawnClassBotAtLoc` takes an explicit Location and skips it.
NOW-LIT	docs/coop-vs-ai-plan-s135.md	361	0x0541BDA0	3953	dark	* **`ALokiPlayerCheats::SpawnBot`** — **does not exist.** `0x556D910` is `ULokiBotSpawnerComponent::SpawnBot`; `ALokiPlayerCheats` has no bot verb (the session brief was wrong). Its nearest relative `ServerCheatSpawnActor` (impl `0x541bda0`, REAL and **lit in `merged10`**, contra `fk6-cheat-surface-settled.md:744`'s "dark everywhere") is `Net|NetReliable|NetServer`, so it would attempt net routing
NOW-LIT	docs/coop-vs-ai-plan-s135.md	361	0x0556D910	3720	dark	* **`ALokiPlayerCheats::SpawnBot`** — **does not exist.** `0x556D910` is `ULokiBotSpawnerComponent::SpawnBot`; `ALokiPlayerCheats` has no bot verb (the session brief was wrong). Its nearest relative `ServerCheatSpawnActor` (impl `0x541bda0`, REAL and **lit in `merged10`**, contra `fk6-cheat-surface-settled.md:744`'s "dark everywhere") is `Net|NetReliable|NetServer`, so it would attempt net routing
NOW-LIT	docs/coverage-audit-s101.md	185	0x01F8CFC0	3807	100%-zero|zero-page	> **Display**, 0 hits in 14 logs; the echo impl `0x1F8CFC0` is a 100 % zero page).
NOW-LIT	docs/coverage-audit-s101.md	187	0x05875000	3896	100%-zero|zero-in-every-image	> `TryJoinQueue`'s page `0x5875000` is 100 % zero in every dump. **★ The settling experiment costs
NOW-LIT	docs/coverage-audit-s101.md	677	0x01F8CFC0	3807	100%-zero|zero-page	> Loki logs** — and the UDP-echo implementation `0x1F8CFC0` is a **100 % zero page**. No captured
